publication,terrain_start,terrain_end,institut,commanditaire,poll_id,scenario_id,scenario,candidat,score,echantillon_exprimes,couverture,source_url
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Fabien Roussel,3.0,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Raphaël Glucksmann,9.0,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Marine Tondelier,3.5,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Édouard Philippe,19.0,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Bruno Retailleau,8.0,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Nicolas Dupont-Aignan,2.0,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Marine Le Pen,36.0,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-PHILIPPE,Édouard Philippe candidat du centre,Éric Zemmour,4.0,624.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Nathalie Arthaud,0.5,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Jean-Luc Mélenchon,15.0,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Fabien Roussel,2.0,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Raphaël Glucksmann,12.0,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Marine Tondelier,4.0,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Gabriel Attal,15.0,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Bruno Retailleau,10.0,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Nicolas Dupont-Aignan,2.0,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Marine Le Pen,36.0,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
2026-07-08,2026-07-07,2026-07-08,Ifop,LCI / Le Figaro,IFOP-2026-07,IFOP-2026-07-ATTAL,Gabriel Attal candidat du centre,Éric Zemmour,3.5,625.0,complet,https://www.commission-des-sondages.fr/notices/medias/fichiers/add/2227
